epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2309,1.3758,2.98948,1.66834,0.91054,0.29087,0.2748,0.27193,1.95038,5.43299,2.05293,0.06931,0.00031,0.00031
2,49.7564,1.14549,2.24963,1.51706,0.88288,0.29544,0.26797,0.25852,1.89203,4.3587,2.08669,0.0376279,0.000627921,0.000627921
3,70.6761,1.00449,1.91856,1.41071,0.91485,0.26667,0.27271,0.21298,2.08872,3.31611,2.24852,0.00594373,0.00094373,0.00094373
4,90.698,0.95255,1.78042,1.37703,0.9149,0.32,0.31018,0.28593,1.73136,2.65737,2.00116,0.0009901,0.0009901,0.0009901
5,111.034,0.92374,1.66522,1.35762,0.95006,0.33333,0.32795,0.30617,1.65873,2.24595,1.96719,0.0009868,0.0009868,0.0009868
6,131.486,0.87833,1.54658,1.31522,0.96992,0.30667,0.34729,0.31253,1.56638,2.0352,1.90149,0.0009835,0.0009835,0.0009835
7,151.978,0.84346,1.42997,1.29097,0.89742,0.35417,0.40284,0.34829,1.46236,1.55387,1.84288,0.0009802,0.0009802,0.0009802
8,172.911,0.77388,1.29527,1.23562,0.6915,0.47917,0.44084,0.35982,1.4372,1.32355,1.852,0.0009769,0.0009769,0.0009769
9,193.108,0.79465,1.27473,1.24331,0.75352,0.47917,0.47296,0.36512,1.37535,1.27868,1.77351,0.0009736,0.0009736,0.0009736
10,213.2,0.76142,1.16253,1.20808,0.77513,0.5,0.47567,0.37635,1.29653,1.27261,1.69962,0.0009703,0.0009703,0.0009703
11,235.919,0.77559,1.16247,1.21498,0.7554,0.5,0.47331,0.37678,1.33018,1.2976,1.69681,0.000967,0.000967,0.000967
12,256.364,0.79506,1.12738,1.22357,0.39765,0.52083,0.46838,0.37232,1.25211,1.30722,1.62866,0.0009637,0.0009637,0.0009637
13,276.279,0.74806,1.10432,1.20867,0.8884,0.47485,0.51791,0.38621,1.28153,1.10131,1.5941,0.0009604,0.0009604,0.0009604
14,296.605,0.72705,1.06055,1.18203,0.46592,0.54167,0.51827,0.40031,1.30822,1.20822,1.65967,0.0009571,0.0009571,0.0009571
15,316.919,0.72151,0.98954,1.19098,0.86512,0.54171,0.56701,0.40389,1.2868,0.98722,1.56147,0.0009538,0.0009538,0.0009538
16,337.377,0.72417,1.00407,1.18198,0.84719,0.52083,0.55213,0.40764,1.21146,1.02997,1.55184,0.0009505,0.0009505,0.0009505
17,358.164,0.69843,0.9331,1.16847,0.84023,0.54641,0.56857,0.42632,1.34958,1.03479,1.59127,0.0009472,0.0009472,0.0009472
18,378.992,0.67213,0.88131,1.13686,0.87749,0.5625,0.58614,0.41701,1.31288,0.95748,1.63678,0.0009439,0.0009439,0.0009439
19,398.536,0.72109,0.93633,1.16584,0.87006,0.60417,0.65858,0.4325,1.34718,0.94804,1.58828,0.0009406,0.0009406,0.0009406
20,418.358,0.70216,0.90111,1.16882,0.90488,0.57749,0.58575,0.41639,1.27339,0.91945,1.63585,0.0009373,0.0009373,0.0009373
